Player Id	Season	Fee	Market Value	Team A	Team B	ID Team A	ID Team B
33947	10/11	€8.00m	€12.00m	FC Schalke 04	Genoa	33	252
33947	05/06	€5.00m	€4.50m	Coritiba FC	FC Schalke 04	776	33
33947	01/02	Free transfer	-	Londrina-PR	Coritiba FC	1693	776
22068	19/20	Free transfer	€4.00m	Bayern Munich 	Fiorentina	27	430
22068	07/08	€30.00m	€18.00m	Marseille	Bayern Munich 	244	27
22068	05/06	Free transfer	€5.25m	Galatasaray	Marseille	141	244
22068	04/05	€5.00m	€3.00m	FC Metz	Galatasaray	347	141
22068	04/05	Free transfer	-	Stade Brest 29	FC Metz	3911	347
22068	03/04	Free transfer	-	Olympique Alès	Stade Brest 29	2618	3911
22068	02/03	Free transfer	-	US Boulogne	Olympique Alès	7042	2618
22068	00/01	-	-	Boulogne U19	US Boulogne	12776	7042
22068	99/00	Free transfer	-	LOSC Lille Yth.	Boulogne U19	59856	12776
4360	19/20	-	-	Bayern Munich 	Retired	27	123
4360	09/10	€25.00m	€30.00m	Real Madrid	Bayern Munich 	418	27
4360	07/08	€35.00m	€22.80m	Chelsea	Real Madrid	631	418
4360	04/05	€18.00m	-	PSV Eindhoven	Chelsea	383	631
4360	02/03	€4.30m	-	FC Groningen	PSV Eindhoven	202	383
4360	00/01	-	-	Groningen U19	FC Groningen	7461	202
4360	00/01	-	-	Groningen U17	Groningen U19	52451	7461
4360	99/00	-	-	Groningen Yth.	Groningen U17	32795	52451
88103	18/19	End of loan	€50.00m	Bayern Munich 	Real Madrid	27	418
88103	17/18	Loan fee:	€50.00m	Real Madrid	Bayern Munich 	418	27
88103	14/15	€75.00m	€60.00m	Monaco	Real Madrid	162	418
88103	13/14	€45.00m	€23.00m	FC Porto	Monaco	720	162
88103	10/11	€7.35m	€2.50m	CA Banfield	FC Porto	830	720
88103	08/09	-	-	CA Banfield U20	CA Banfield	15103	830
88103	07/08	€280Th.	-	Envigado	CA Banfield U20	7136	15103
88103	06/07	-	-	Envigado U20	Envigado	22573	7136
39728	19/20	€30.50m	€35.00m	Bayern Munich 	Bor. Dortmund	27	16
39728	16/17	€35.00m	€38.00m	Bor. Dortmund	Bayern Munich 	16	27
39728	09/10	€4.20m	€4.00m	Bayern Munich 	Bor. Dortmund	27	16
39728	08/09	End of loan	€4.00m	Bor. Dortmund	Bayern Munich 	16	27
39728	07/08	Loan	€250Th.	Bayern Munich 	Bor. Dortmund	27	16
39728	06/07	-	€150Th.	FC Bayern II	Bayern Munich 	28	27
39728	06/07	-	€50Th.	FC Bayern U19	FC Bayern II	1462	28
39728	04/05	-	-	FC Bayern U17	FC Bayern U19	21058	1462
39728	03/04	-	-	FC Bayern Münche	FC Bayern U17	18936	21058
85867	19/20	€25.50m	€25.00m	TSG Hoffenheim	Bor. Dortmund	533	16
85867	17/18	€3.00m	€2.00m	Bor. M'gladbach	TSG Hoffenheim	18	533
85867	15/16	€4.00m	€3.50m	Hertha BSC	Bor. M'gladbach	44	18
85867	10/11	-	-	Hertha BSC U19	Hertha BSC	2827	44
85867	09/10	-	-	Hertha BSC U17	Hertha BSC U19	21066	2827
85867	08/09	-	-	Hertha BSC Yth.	Hertha BSC U17	11844	21066
85867	00/01	Free transfer	-	Rehberge Yth.	Hertha BSC Yth.	48852	11844
102226	19/20	€25.50m	€38.00m	Bor. M'gladbach	Bor. Dortmund	18	16
102226	15/16	€8.00m	€10.00m	Chelsea	Bor. M'gladbach	631	18
102226	14/15	End of loan	€10.00m	Bor. M'gladbach	Chelsea	18	631
102226	14/15	Loan fee:	€10.00m	Chelsea	Bor. M'gladbach	631	18
102226	13/14	End of loan	€10.00m	Zulte Waregem	Chelsea	3508	631
