Player Id	Season	Fee	Market Value	Team A	Team B	ID Team A	ID Team B
221889	10/11	Free transfer	-	Konkuk Uni	Jeju Utd.	26242	19684
221889	06/07	-	-	Gangwon Yth.	Konkuk Uni	40865	26242
641646	20/21	End of loan	€450Th.	Jeonbuk Motors	Pohang Steelers	6502	311
641646	19/20	Loan	€500Th.	Pohang Steelers	Jeonbuk Motors	311	6502
641646	18/19	-	-	Pohang St. Yth.	Pohang Steelers	20339	311
214096	19/20	End of loan	€400Th.	Hatta Club	Al-Nasr	17195	5432
214096	19/20	Loan	€500Th.	Al-Nasr	Hatta Club	5432	17195
214096	19/20	End of loan	€500Th.	Jeonbuk Motors	Al-Nasr	6502	5432
214096	19/20	Loan	€400Th.	Al-Nasr	Jeonbuk Motors	5432	6502
214096	18/19	End of loan	€400Th.	Fujairah SC	Al-Nasr	31320	5432
214096	18/19	Loan	€950Th.	Al-Nasr	Fujairah SC	5432	31320
214096	18/19	?	€950Th.	Hatta Club	Al-Nasr	17195	5432
214096	17/18	?	€750Th.	Fluminense	Hatta Club	2462	17195
214096	16/17	End of loan	€750Th.	Hatta Club	Fluminense	17195	2462
214096	16/17	Loan	€750Th.	Fluminense	Hatta Club	2462	17195
214096	15/16	End of loan	€1.00m	Ferroviária	Fluminense	15882	2462
214096	15/16	Loan	€1.00m	Fluminense	Ferroviária	2462	15882
214096	15/16	End of loan	€1.00m	Sport Recife	Fluminense	8718	2462
214096	14/15	Loan	€1.50m	Fluminense	Sport Recife	2462	8718
214096	14/15	End of loan	€1.50m	Goiás EC	Fluminense	3197	2462
214096	14/15	Loan	€1.50m	Fluminense	Goiás EC	2462	3197
214096	14/15	End of loan	€1.50m	LA Galaxy	Fluminense	1061	2462
214096	13/14	Loan	€1.50m	Fluminense	LA Galaxy	2462	1061
214096	11/12	-	-	Fluminense U20	Fluminense	14702	2462
177011	19/20	?	€800Th.	Jeonbuk Motors	Sagan Tosu	6502	22177
177011	19/20	End of loan	€800Th.	Sagan Tosu	Jeonbuk Motors	22177	6502
177011	19/20	Loan	€1.50m	Jeonbuk Motors	Sagan Tosu	6502	22177
177011	17/18	?	€2.00m	Hilal	Jeonbuk Motors	1114	6502
177011	17/18	End of loan	€2.40m	Shimizu S-Pulse	Hilal	1062	1114
177011	16/17	Loan	€2.40m	Hilal	Shimizu S-Pulse	1114	1062
177011	16/17	?	-	Penapolense-SP	Hilal	27475	1114
177011	16/17	End of loan	-	Seongnam FC	Penapolense-SP	3610	27475
177011	15/16	Loan	-	Penapolense-SP	Seongnam FC	27475	3610
177011	15/16	End of loan	-	Pohang Steelers	Penapolense-SP	311	27475
177011	14/15	Loan	-	Penapolense-SP	Pohang Steelers	27475	311
177011	14/15	Free transfer	-	Santos FC	Penapolense-SP	221	27475
177011	14/15	End of loan	-	Paraná	Santos FC	309	221
177011	13/14	Loan	-	Santos FC	Paraná	221	309
177011	13/14	End of loan	-	Peñarol-AM	Santos FC	32500	221
177011	13/14	Loan	-	Santos FC	Peñarol-AM	221	32500
177011	13/14	End of loan	-	América-MG	Santos FC	2863	221
177011	12/13	Loan	-	Santos FC	América-MG	221	2863
177011	12/13	End of loan	-	Boa Esporte	Santos FC	17561	221
177011	11/12	Loan	€250Th.	Santos FC	Boa Esporte	221	17561
177011	10/11	-	-	Santos B	Santos FC	14701	221
292261	21/22	End of loan	€325Th.	Sangju Sangmu	Jeonbuk Motors	6505	6502
292261	19/20	Loan	€375Th.	Jeonbuk Motors	Sangju Sangmu	6502	6505
292261	19/20	End of loan	€375Th.	Jeju Utd.	Jeonbuk Motors	19684	6502
292261	19/20	Loan	€400Th.	Jeonbuk Motors	Jeju Utd.	6502	19684
292261	18/19	?	€25Th.	Pohang Steelers	Jeonbuk Motors	311	6502
292261	17/18	Free transfer	€25Th.	Yonsei Univ.	Pohang Steelers	27039	311
292261	14/15	-	€25Th.	Eonnam High	Yonsei Univ.	42166	27039
292261	11/12	-	-	Gyeongnam Yth.	Eonnam High	25992	42166
379443	19/20	End of loan	€375Th.	Incheon Utd.	Jeonbuk Motors	2996	6502
379443	19/20	Loan	€450Th.	Jeonbuk Motors	Incheon Utd.	6502	2996
379443	14/15	-	-	Jeonbuk Youth	Jeonbuk Motors	40870	6502
379443	11/12	-	-	Chunnam Yth.	Jeonbuk Youth	63999	40870
260185	19/20	?	€250Th.	Jeonbuk Motors	Bucheon FC	6502	35759
260185	19/20	End of loan	€250Th.	Suwon FC	Jeonbuk Motors	31622	6502
260185	18/19	Loan	€50Th.	Jeonbuk Motors	Suwon FC	6502	31622
260185	18/19	End of loan	€50Th.	FC Anyang	Jeonbuk Motors	38898	6502
260185	17/18	Loan	€50Th.	Jeonbuk Motors	FC Anyang	6502	38898
260185	14/15	End of loan	€25Th.	Suwon FC	Jeonbuk Motors	31622	6502
260185	13/14	Loan	€25Th.	Jeonbuk Motors	Suwon FC	6502	31622
260185	13/14	End of loan	€25Th.	Daegu FC	Jeonbuk Motors	6504	6502
260185	13/14	Loan	-	Jeonbuk Motors	Daegu FC	6502	6504
260185	12/13	draft	-	Korea University	Jeonbuk Motors	854	6502
181669	19/20	Free transfer	€600Th.	Jeonbuk Motors	Gangwon FC	6502	21459
181669	19/20	End of loan	€625Th.	Asan Mugunghwa	Jeonbuk Motors	76180	6502
181669	17/18	Loan	€400Th.	Jeonbuk Motors	Asan Mugunghwa	6502	76180
181669	15/16	Free transfer	€500Th.	Pohang Steelers	Jeonbuk Motors	311	6502
181669	10/11	Free transfer	-	Soongsil Uni	Pohang Steelers	24768	311
181669	08/09	-	-	Pohang St. Yth.	Soongsil Uni	20339	24768
426123	19/20	?	€300Th.	Jeonbuk Motors	Suwon Bluewings	6502	3301
426123	19/20	End of loan	€300Th.	Incheon Utd.	Jeonbuk Motors	2996	6502
426123	19/20	Loan	€100Th.	Jeonbuk Motors	Incheon Utd.	6502	2996
426123	17/18	End of loan	€125Th.	Seoul E-Land	Jeonbuk Motors	46292	6502
426123	16/17	Loan	-	Jeonbuk Motors	Seoul E-Land	6502	46292
426123	15/16	Free transfer	-	Korea University	Jeonbuk Motors	854	6502
426123	13/14	-	-	Boin High	Korea University	42163	854
503486	19/20	Free transfer	€150Th.	Jeonbuk Motors	Jeju Utd.	6502	19684
503486	19/20	End of loan	€150Th.	Seongnam FC	Jeonbuk Motors	3610	6502
503486	19/20	Loan	€100Th.	Jeonbuk Motors	Seongnam FC	6502	3610
503486	16/17	Free transfer	-	Chung-Ang Uni	Jeonbuk Motors	39277	6502
503486	13/14	-	-	Yeongdeungpo HS	Chung-Ang Uni	46653	39277
645848	19/20	End of loan	€150Th.	Bucheon FC	Jeonbuk Motors	35759	6502
645848	19/20	Loan	€50Th.	Jeonbuk Motors	Bucheon FC	6502	35759
645848	18/19	draft	-	Chung-Ang Uni	Jeonbuk Motors	39277	6502
645848	16/17	-	-	Jeonbuk Youth	Chung-Ang Uni	40870	39277
645848	13/14	-	-	Seongnam Yth.	Jeonbuk Youth	40882	40870
557241	19/20	End of loan	€75Th.	Bucheon FC	Jeonbuk Motors	35759	6502
557241	19/20	Loan	€50Th.	Jeonbuk Motors	Bucheon FC	6502	35759
557241	17/18	Free transfer	-	Soongsil Uni	Jeonbuk Motors	24768	6502
375226	19/20	€5.46m	€1.50m	Jeonbuk Motors	SH SIPG	6502	27190
375226	15/16	€1.00m	-	Globo FC	Jeonbuk Motors	49067	6502
375226	15/16	End of loan	-	Jeju Utd.	Globo FC	19684	49067
375226	14/15	Loan fee:	-	Globo FC	Jeju Utd.	49067	19684
375226	14/15	End of loan	-	Fortaleza	Globo FC	10870	49067
375226	14/15	Loan	-	Globo FC	Fortaleza	49067	10870
375226	13/14	Free transfer	-	Gurupi-TO	Globo FC	36477	49067
375226	12/13	Free transfer	-	Ituano	Gurupi-TO	4773	36477
152689	19/20	€5.35m	€1.75m	Jeonbuk Motors	SH Shenhua	6502	3183
152689	15/16	€1.50m	€1.75m	Ulsan Hyundai	Jeonbuk Motors	3535	6502
152689	08/09	draft	-	Chung-Ang Uni	Ulsan Hyundai	39277	3535
152689	06/07	-	-	Gwacheon HS	Chung-Ang Uni	81832	39277
402159	19/20	Free transfer	€50Th.	Jeonbuk Motors	Yeoju Citizen	6502	64836
402159	16/17	-	-	Jeonbuk Youth	Jeonbuk Motors	40870	6502
140205	19/20	Free transfer	€450Th.	Jeonbuk Motors	Newcastle	6502	5551
140205	18/19	Free transfer	€500Th.	Emirates Club	Jeonbuk Motors	15542	6502
140205	18/19	?	€500Th.	Vancouver	Emirates Club	6321	15542
140205	16/17	?	€500Th.	Club Brugge	Vancouver	2282	6321
140205	16/17	End of loan	€500Th.	Sydney FC	Club Brugge	8054	2282
